英単語,意味,発音記号
caryatid,(ギリシア建築の)女像柱,kæ`riæ’tid
crematorium,火葬場,krì:mətɔ’:riəm
deflower,…‘の’花をもぎ取る / 〈処女〉’を’犯す,di:fláuər
deletion,削除;〈C〉削除箇所,dilí:ʃən
farmhand,"作男,農場労働者",fɑ’:rmhænd
itchy,"かゆい,むずむずする / 欲しがる,うずうずする",íʧi
knacker,廃馬屠殺(とさつ)業者 / 廃船(廃屋)解体業者,næ’kər
misspelling,〈U〉つづりの誤り / 〈C〉間違ったつづり,misspéliŋ
mizzle,《話》《方言》《itを主語にして》こぬか雨が降る,mízl
one-way,一方向だけの / 《米》(切符の)片道の / (話など)一方的な,
semantic,(言語の)意味に関する;意味論の,simæ’ntik
shortstop,(野球で)ショート[の位置];遊撃手,ʃɔ’:rtstɑ:p
spoof,"…‘を’だます,かつぐ(deceive) / …‘の’まねをしてからかう,‘を’ひやかす(mock) / (軽く陽気に)ちゃかす / 人をだます(かつぐ)こと / (陽気で悪意のない)もじり,ちゃかし",spú:f
sweetener,"(砂糖代用の)甘味料,人工甘味料",swí:tnər
aftermost,(船の)最後部の / 最後の,æ’ftər-mòust
bradawl,小錐(こぎり),bræ’dɔ`:l
chard,〈C〉フダンソウ(大きな根と葉を持つ食用植物) / 〈U〉(食用の)その葉と茎,ʧɑ’:rd
chauvinism,"盲目的愛国心,好戦的愛国主義",ʃóuvənìzm
costal,"肋(ろっ)骨の近くにある,肋骨を含む,わき腹の",kɑ’stl
lobule,小葉;小裂片,lɑ’bju:l
magnetite,磁鉄鉱,mæ’gnətàit
permeability,浸透性,pə`:rmiəbíləti
psychotherapy,"精神催眠療法,心理療法",sàikouθérəpi
quadrivium,(中世の大学の)四学科(算術・幾何・天文学・音楽),kwɑdríviəm
rigger,船の装備をする人;(飛行機・車などの)整備員,rígər
skimp,"〈金銭・食物など〉‘を’けちけち与える,出し惜しむ / 〈仕事など〉‘を’いいかげんにやる / けちけちする;(…を)つましくする《+『on』+『名』》",skímp
upcoming,"なって来る,やがて起こる(現れる),まもなく公開される",ʌ’pkʌ`miŋ
wasteland,"荒れ地,不毛の地;(戦争・災害などで)荒廃した地域",wéis(t)lænd
whippersnapper,"こしゃくなやつ,生意気な若僧",(h)wípəsnæ`pər
bluestocking,"《軽べつして》文学かぶれの女性,学才を誇る女",blú:stɑ`kiŋ
bootlace,《通例複数形で》長靴を締めるひも / 《英》靴ひも,bú:tleis
clipboard,クリップボード(書類をはさむ長方形の堅い板),klípbɔ:rd
freelance,自由契約者(専属でない自由契約の寄稿家・記者・芸術家・俳優など) 自由契約者として働く / (仕事などが)自由契約の,frí:læn(t)s
gyve,"足かせ,手かせ",ʤáiv
insider,"内部の人,会員,部員 / 《話》内幕を知っている人,消息通",ìnsáidər
motel,モーテル(街道沿にある自動車旅行者の宿泊所)[motorとhotelの合成語],moutél
nucleolus,"(細胞核内の)小核,核仁",n(j)u:klí:ələs
nutcracker,《しばしば複数形で》クルミ割り / ホシガラス(とがった口ばしのカラス科の鳥),nʌ’tkræ`kər
onanism,"オナニー,手淫 / 性交中絶",óunənìzm
onomatopoeia,〈U〉擬声(自然の音をまねて言葉を作ること) / 〈C〉擬声語,ɑ`nəmæ`təpí:ə
osmosis,浸透[性] / (一般に)少しずつ吸収すること,ɑzmóusis
sybaritic,"ぜいたく(快楽)にふける,遊蕩好きの",sìbərítik
worsen,…‘を’いっそう悪化させる / いっそう悪化する,wə’:rsn
broadsheet,"《古》(2つ折りの)片面(両面)刷りの大判紙 / 片面刷りの[大判]印刷物(広告・ビラ,詩歌など)",brɑ’:dʃi:t
cartography,地図製作[法],kɑ:rtɑ’grəfi
catkin,尾状花(カワヤナギ・カバノキなどの花),kæ’tkin
cereus,"ハシラサボテン(熱帯アメリカ及び米国西部産) / サクランボ色の,淡紅色の",sí(ə)riəs
corm,球茎,kɔ’:rm
crewel,ししゅう用の毛糸,krú:əl
crocked,泥酔した,krɑ’kt
disco,discotheque,dískou
emasculation,"去勢 / 骨抜き,無力化",imæ`skjuléiʃən
faze,"…‘の’心を騒がせる,‘を’あわてさせる,‘を’たじろがせる",féiz
great-grandchild,"ひ孫,曾孫(そうそん)",
kilowatt,"キロワット(1000ワット;《略》『kw.,KW,K.W.』)",kíləwɑt
lamppost,街灯の柱,læ’mpòust
lunkhead,"うすのろ, 馬鹿者, 能なし, 間抜け",lʌ’ŋkhèd
oryx,オリックス(アフリカ産の大カモシカの種),ɔ’:riks
puffin,ツノメドリ(はでなしま模様で三角の口ばしを持つ海鳥),pʌ’fin
rattletrap,ガタガタ音をたてるうるさい乗物;(特に)おんぼろ車,ræ’tl-træ’p
swami,ヒンズー教の学者(聖職者)(の尊称),swɑ’:mi
transience,"一時的であること,つかの間のこと,はかなさ,無常",træ’nʃəns
upturn,(価格などの)上昇;(事業などの)好転《+in+名》,ʌ`ptə’:rn
aquamarine,"〈U〉〈C〉アクアマリン,藍(らん)玉(宝石の一種) / 〈U〉藍緑色(青味がかった緑色) / 藍緑色の",æ`kwəmərí:n
cognoscenti,"(ファッション・芸術・食物などの)通,通じている人",kɑ`njəʃénti
dm,decimeter…decameter,
fascist,《しばしばF-》ファシズム派の人 / 《軽べつして》反動的な意見を持つ人;『全体主義者』,fæ’ʃist
honeybee,ミツバチ,hʌ’nibi:
knockdown,"打ち倒すような,圧倒的な / (値段が)底をついた / 取り壊せる;折り畳み式の / (ボクシングの)ノックダウン",nɑ’kdaùn
mugger,"(背後から襲いかかる)強盗,迫いはぎ",mʌ’gər
prestigious,"誉れの高い,高名な;尊敬されている",prestíʤəs
prewar,戦前の,priwɔ’:r
rubbery,ゴムのような;弾性のある,rʌ’bəri
run-in,〈C〉《米話》口げんか / 《英》=run-up,
tenter,(織物の)張りわく,téntər
undercover,"秘密の,秘密に行う(行われた)",ʌ`ndəkʌ’vər
volte-face,"(意見・政策などの)転向,逆転,急変",
all-out,"総力をあげての,徹底的な",
astigmatic,乱視の,æ`stigmæ’tik
bulletproof,"弾丸の通らない,防弾の / …’を’防弾にする",búlətprù:f
bummer,"へま,失敗 / (特に幻覚による)不快な経験",bʌ’mər
cola,"〈C〉コーラの木(熱帯産の木) / 〈U〉コーラの木の実からつくった炭酸飲料(Coca-Cola, Pepsi Colaなど) colonの複数形",kóulə
conifer,"(松・モミなど球果をつける)球果植物,針葉樹",kóunəfər
crofter,小作農,krɔ’:ftər
despicably,"卑しく,卑劣にも",dispíkəbli
duodecimal,12の / 12進法の / 12進法,d(j)ù:ədésəməl
fledge,…‘を’羽毛でおおう(飾る);〈矢〉‘に’羽を付ける / (飛べるまで)〈ひな〉‘を’育てる / 〈ひなが〉羽が生えそろう;巣立つ,fléʤ
gamete,(細胞の)配偶子,gæ’mi:t
gharry,(インドの)辻馬車,gæ’ri
hurray,"万歳;フレー,がんばれ / 万歳,歓呼の声;がんばれという掛け声 / 万歳を叫ぶ;応援する(cheer)",həréi
Istanbul,イスタンブール(トルコ共和国最大の都市),ìstɑ:nbú:l
litigate,…‘を’法廷で争う / 訴訟する,lítəgèit
magniloquence,"大言壮語,大ぼら",mægníləkwən(t)s
neon,ネオン(気体元素;化学記号は『Ne』),ní:ɑn
outreach,"…‘より’遠くに届く,‘を’越える",áutri:ʧ
pastorale,"牧歌曲,田園曲",pæ`stərɑ’:l
prestissimo,(音楽の指示で)最も速い / 最も速く,prestísəmòu
quoin,(建物の外壁の)かど;(そのかどを造る)すみ石 / くさび石 / くさび;くさび型の物,k(w)ɔ’in
real-time,実際にかかる時間の,
scabies,"かいせん,ひぜん(ダニの寄生による伝染性皮膚病)",skéibiz
sharpener,"とぐ人,削る道具",ʃɑ’:rp(ə)nər
streamline,…‘を’流線型にする / ‘を’近代化(能率化)する,strí:mlain
translucence,半透明,trænzlú:s(ə)n(t)s
uneconomic,"むだづかいをする,浪費の / 不経済な",ʌnì:kənɑ’mik
unrealistic,"(作風などが)非現実主義の,非写実的な / (計画などが)現実的(実際的)でない",riəlístik
aggrieve,"〈人〉’を’不当に苦しめる,しいたげる / (法律用語で)〈人〉‘の’権利(名誉)を侵害する",əgrí:v
annulus,環(ring);環形のもの / (幾何で)環形 / (シダ類の胞子のうちの)環帯;(動物の)体環,æ’njuləs
corrugation,"〈U〉波形にすること;波形のついた状態,うね状 / 〈C〉(波形を構成する)うね,溝,しわ",kɔ`:rəgéiʃən
decor,(室内などの)装飾 / 舞台装置,deíkɔ:r
demographic,人口統計学の,dèməgræ’fik
emboss,(生地・紙などに)〈模様・図案など〉‘を’浮き彫りにする《+『名』+『on』+『名』》;(模様・図案などを)〈生地・紙など〉‘に’浮き彫りにする《+『名』+『with』+『名』》,imbɔ’:s
featherbed,〈仕事〉‘を’水増し雇用で行う・フェザーベッディングの・水増し雇用を要求する 羽毛の入った敷きぶとん,féðərbed
gilder,"金めっき師,金ぱく師",gíldər
labium,くちびる;くちびる状の物 / 《複数形で》陰唇,léibiəm
newsstand,(駅・街頭などの)新聞雑誌売場,nú:zstænd
nightjar,ヨタカ(ヨーロッパ産の夜鳥),náitʤɑ:r
odometer,(自などの)走行距離記録計,oudɑ’mətər
ouzel,クビワツグミ(全体が黒く胸に白い輪のある鳥),ú:z(ə)l
poppycock,"ばかげたこと,たわごと",pɑ’pikɑ`k
pyrite,黄鉄鉱(fool’s gold),páirait
rip-off,"〈C〉盗み・〈C〉不当搾取,しぼり取ること・〈C〉泥棒・= rip off・ごまかし; 法外な料金請求・まやかし品",
secularism,"世俗(現世)主義 / 政治宗教分離論,教員宗教分離論",sékjulərìzm
snide,"皮肉たっぷりの,当てこすりの",snáid
splat,"(いすの背の)薄板,背板 (水などをはねかえすときの)ジャブジャブ(バチャバチャ)という音",splæ’t
stalker,(獲物などに)忍び寄る人 / いばって歩く人,stɔ’:kər
upholster,"〈いす・ソファー〉‘に’詰め物をする,クッション(おおい)を取り付ける / 〈部屋〉‘に’じゅうたん(家具)を取り付ける",ʌphóulstər
camber,"上反(うわぞり)(道路や船のデッキなどの,雨水などを端に流すための傾斜) / (自動車の,ふつう前輪の)上開き傾斜 / 上反になる / …’を’上反にする",kæ’mbər
cryptography,"暗号学,暗号作成法",kriptɑ’grəfi
defecation,"脱糞,排便",dèfikéiʃ(ə)n
dragonfly,『トンボ』,dræ’g(ə)nflai
edema,"浮腫(ふしゅ),水腫",idí:mə
explicate,〈特に文学作品〉‘を’詳細に説明する,ékspləkèit
firebug,放火魔,fáiərbʌg
kosher,"(食物,特に肉がユダヤ人のおきてに従って)適法な,清浄な / 《話》純粋の,真正の,適正の / 清浄な食物",kóuʃər
letter-perfect,細部にいたるまで正確な,
lifer,無期刑囚 / 職業軍人,láifər
metastasis,(癌(がん)などの)転移,mətæ’stəsis
module,"(建築・機械工作などの)測定基準;基準単位(寸法) / モジュール(宇宙船の一部を成し,母船から独立して行動できるもの)",mɑ’ʤu:l
muskmelon,マスクメロン(表面に網の目模様があり甘い果物),mʌ’skmèlən
mystique,"神秘感,神秘的な雰囲気 / 奥儀,秘法",mistí:k
obstetrician,産科医,ɑ`bstətríʃən
payday,給料日;支払い日,péidei
rhizome,"根茎,地下茎",ráizoum
sleepwalker,夢遊病者,slí:pwɔ`:kər
sphagnum,ミズゴケ(沼の表面にはえる柔らかいコケ),sfæ’gnəm
stepsister,"腹違いの姉妹,父親違いの姉妹",stépsìstər
upmost,最高の　最上の　一番の　最重要の　真っ先に　=uppermost,ʌ’pmòust
uptake,"〈U〉《the up. take》《話》理解,予解 / 〈C〉(鉱山などで空気や煙の)吸い上げパイプ",ʌ’pteik
bluejacket,水兵,blú:ʤæ`kit
buildup,"(原料・エネルギーの)蓄積;(兵力の)強化,集結 / 権伝,売込み,人気を盛り上げること",bíldʌ`p
catalytic,触媒[作用]の,kæ`t(ə)lítik
cottontail,ワタオウサギ(綿毛のような白い毛のウサギ;米国産),kɑ’t(ə)nteil
digraph,"二重字(2字で1音を表すもの;bookのoo,pathのthなど)",dáigræf
efflorescent,《文》開花している / (結晶が)風化性の,èflərésnt
effluent,"流出物,廃水;(湖・貯水池などからの)放流",éfluənt
enzyme,酵素,énzaim
galactic,銀河の,gəlæ’ktik
gangling,(身長・脚などが)ぶざまなほどひょろ長い,gæ’ŋgliŋ
has-been,"盛りを過ぎた人,過去の人",
hindsight,あと知恵,háindsait
jinx,"縁起の悪い人(物),厄病神 / ちょっとした災い,ジンクス / …‘に’不運をもたらす,けちをつける",ʤíŋks
lawman,(昔の西部の)保安官,lɔ’:mən
lingerer,"ぐずぐず(だらだら)する人;長びくもの,手間どるもの",líŋgərər
masseur,男のマッサージ師,məsə’:r
meniscus,"〈C〉三日月形の物体 / 〈C〉凹凸(おうとつ)レンズ / 〈U〉(器の中の液体の表面の)凸面,凹面",minískəs
semiconductor,(電気の)半導体,sèmikəndʌ’ktər
snippet,"切れ端;断片,小片 / 《複数形で》わずかな情報(ニュース)",snípit
sonic,音の(に関する) / 音速の,sɑ’nik
superpower,"超大国(米国, ロシア,中国など)",sú:pərpàuər
suppository,座薬,səpɑ’zətɔ`:ri
thriller,"スリルを与えるもの / スリラー映画(小説,劇)",θrílər
afterlife,"死後の命,来世;余生",ɑ’:ftəlaif
baseline,基線 / (テニスコートの)ベースライン / (野球の)ベースライン,béislain
drool,"よだれを垂らす,よだれが出る / 《話》(…を)大喜びする,楽しみにする《+『about』(『over』)+『名』》",drú:l
granule,"小粒,微粒",græ’nju:l
headword,(辞書などの)見出し語,hédwə:rd
lifestyle,"生き方,生きざま",láifstail
lowercase,(活字の)小文字 / 小文字[盤]の,lóuər-kéis
pasta,パスタ(マカロニやスパゲティの類),pɑ’:stə
punter,パント舟をあやつる人 / (ラグビー・フットボールで)パントする人,pʌ’ntər
redhead,赤毛の人,rédhed
semiannual,"半年ごとの,年2回の",sèməæ’njəwəl
viticulture,ぶどう栽培,vítəkʌ`lʧər
washable,洗濯のきく,wɑ’ʃəbl
beluga,"シロチョウザメ(黒海,カスピ海およびボルガ川産) / シロイルカ,シロクジラ(北極海産)",bəlú:gə
blather,"ばか話,たわごと / たわごとを並べたてる,むだ口をたたく / 〈くだらないこと〉’を’べらべらしゃべる",blæ’ðər
borate,"硼酸塩,硼酸エステル",bɔ’:reit
colonialism,"植民地[獲得]政策,植民地主義",kəlóuniəlìzm
defecate,排便する,défikèit
fulmination,"〈U〉激しい抗議,強い非難 / 〈C〉叱責の言葉",fʌ`lmənéiʃən
gadget,"(機械の)ちょっとした仕掛け,(道具の)部品,付属品・(家庭用などの)気のきいた小物・ちょっとした機械装置",gæ’ʤit
intramural,"(外来者を交えず)内部参加者だけの,(特に)学内の",ìntrəmjúər(ə)l
licensee,免許(許可)を得た人;(持に)酒類販売免許を受けた人,làisənsí:
lumberjack,材木切り出し人,lʌ’mbəbər
north-northeast,北北東 / 北北東へ向かう;北北東からの / 北北東へ(に),
phew,ちぇっ(いらだち・驚き・不快・嫌悪などを表す声);ふうー(疲労・安堵(あんど)などを表す声),fjú:
potty,"《おもに英話》(人が)ばかな,多少狂っている;(考えなどが)道理に合わない / 《名詞の前にのみ用いて》《英》価値のない,取るに足りない / 《補語にのみ用いて》《英話》(…に)熱狂的な,のぼせている《『+about+名』》 幼児用便器,おまる",pɑ’ti
radiology,"X線学,放射線学,(特に)放射線医学",rèidiɑ’ləʤi
ricer,ライサー(ゆでたジャガイモなどをつぶす台所用具),ráisər
sawbones,外科医,sɑ’:bounz
spokeswoman,女性スポークスマン,spóukswùmən
taxidermy,剥製(はくせい)術,tæ’ksidə`:rmi
teardrop,涙の一しずく,tírdrɑ:p
thermostat,サーモスタット(暖房器具などの自動温度調節器),θə’:məstæt
tup,雄羊,tʌ’p
ashtray,(たばこの)灰ざら,æ’ʃtrèi
bedaub,(泥などで)…’を’塗りたてる《+『名』+『with』+『名』》,bidɔ’:b
billingsgate,"野卑な言葉,悪態",bíliŋzgèit
jounce,…‘を’上下にガタガタ(激しく)揺する / 上下にガタガタ(激しく)揺れる / 動揺,ʤáuns
malleus,つち骨(中耳の三つの骨のうちで最も外側にある),mæ’liəs
medic,"医学生,インターン / 医学関係者;《特に米》衛生兵,看護兵",médik
neurologist,"神経学者,神経科医",n(j)u(ə)rɑ’ləʤist
opt,(…を)選ぶ《+『for』+『名』》;(…するほうを)選ぶ《+『to』 do》,ɑ’pt
thallium,タリウム(金属元素;化学記号はT1),θæ’liəm
triceps,(上腕の)三頭筋,tráiseps
trifoliate,"(植物) 三葉の, 葉が三つ又の・三小葉の・三小葉の葉をもつ",traifóulièit
typesetter,植字工 / 植字機,táipsètər
cavort,〈人が〉浮かれてとんだりはねたりする;〈馬が〉はね回る,kəvɔ’:rt
doctoral,博士[号]の,dɑ’ktərəl
dyed-in-the-wool,(特に思想などが)徹底的に浸透した,
eructation,"げっぷ,おくび / 噴出",irʌktéiʃən
hooch,"酒類,(特に)ウイスキー",hú:ʧ
incineration,(不必要な物の)焼却,insìn(ə)réiʃ(ə)n
libertarian,(特に思想・宗教上の)自由論者,lìbərté(ə)riən
marinate,〈肉・魚など〉‘を’マリネードにつける,mæ’rənèit
north-northwest,北北西 / 北北西へ向かう;北北西からの / 北北西へ(に),
osteopathy,整骨治療法,ɑ`stiɑ’pəθi
splatter,〈水・泥などが〉はねかかる / 〈水・泥など〉‘を’はねかける / はね散らす(飛び散る)こと(音),splæ’tər
transmigrate,〈魂が〉他の肉体に転生する,trænsmáigreit
troika,トロイカ(ロシアの3頭立て馬車またはそり) / (協調関係にある)三者グループ;三頭制,trɔ’ikə
archivist,公文書(記録文書)保管者,ɑ’:rkəvist
armhole,そでぐり(そでを付けるための穴),ɑ’:rmhoul
avian,"鳥類の,鳥の",éiviən
befog,"…’を’霧(雲)で包む / (…で)〈問題・論点など〉’を’ぼかす,あいまいにする《+『名』+『with』+『名』》",bifɑ’g
briefcase,ブリーフケース(書類などを入れるおもに皮製の平たいかばん),brí:fkeis
caterwaul,(発情期の猫のように)ギャーギャー言う / いがみ合う / ギャーギャー鳴く声,kæ’tərwɔ`:l
concupiscent,"好色な,肉欲にふける",kɑnkjú:pəs(ə)nt
crossword,クロスワードパズル,krɑ’:swə:rd
cytoplasm,細胞質,sáitəplæ`zm
epistemology,認識論(知識の起源・方法などを探求する哲学),ipìstəmɑ’ləʤi
hookworm,十二指腸虫 / 十二指腸虫症,húkwə:rm
lactose,乳糖,læ’ktous
lampshade,ランプのかさ,læ’mpʃeid
leftover,"(複数形：leftoversとして、特に食事などの)残り物,食べ残し,残飯・残りの,食べ残りの",léftòuvər
lyricist,叙情詩人 / (流行歌・歌謡曲などの)作詞家,lírəsist
menthol,"メントール,ハッカ脳(薬・香料に用いる)",ménθɔ:l
nostalgic,"郷愁の,郷愁に満ちた / 昔を懐しむ,懐古にふける",nɑ:stæ’lʤik
pinpoint,"ピン先 / 針先(ほどの…)《+『of』+『名』》 / …‘を’正確にねらう(示す,述べる) / ピン先ほどの,ごく小さな",pínpɔint
raj,(インド・パキスタンで)支配[期間];(特にインドでの)英国統治,rɑ’:ʤ
reprise,"(音楽の)反復,再現[部]",riprí:z
skittle,《複数形で;単数扱い》九柱戯(ninepins) / 〈C〉九柱戯のピン / (クリケットで)〈打者〉‘を’ばたばたとアウトにする,skítl
timberline,樹木限界線(環境・条件の変化のため高木の生育が不可能となる地域的限界線),tímbərlain
titillate,"…‘を’快く刺激する,そそる",tít(ə)lèit
totalitarian,全体主義の / 全体主義者,toutæ`lité(ə)riən
transalpine,"(比較変化なし)(特にイタリアから見て)アルプスの北側の(から,にある)",trænsæ’lpain
trilobite,三葉虫(甲殻類に属する最古の化石動物),tráiləbàit
vibrato,"ビブラート,振動[音]",vibrɑ’:tou
additive,(製造品に)添加された;足し算の / 添加物,æ’dətiv
ballerina,"女性バレーダンサー,バレリーナ",bæ`lərí:nə
carcinoma,"がん,がん腫",kɑ`:rsənóumə
cation,"陽イオン,正イオン",kæ’tàiən
clockwise,時計の針と同方向の(に),klɑ’:kwaiz
columnist,"(新聞・雑誌などの)コラムニスト,特約寄稿家",kɑ’ləm(n)ist
deluxe,"豪華な,ぜいたくな / 豪華に",dəlʌ’ks
embower,〈家など〉‘を’樹木(茂み)で囲む,imbáuər
fictive,創作力のある / 《まれ》=fictitious,fíktiv
fingernail,指のつめ,fíŋgərneil
gnarl,"(木の)節(ふし),こぶ",nɑ’:rl
gyratory,"渦を巻く;旋回する,回転する",ʤái(ə)rətɔ`:ri
hodgepodge,(いろいろな物の)ごったまぜ,hɑ’ʤpɑ`ʤ
hydroelectric,水力電気の,hàidrouiléktrik
limonite,褐(かつ)鉄鉱,láimənàit
mythologist,神話作者;神話学者,miθɑ’ləʤist
papaya,パパイヤ;その実(熱帯アメリカ産;実は大きく黄色),pəpɑ’:jə
parr,サケの幼魚,pɑ’:r
plushy,"プラシ天(plush)のような / 《話》豪華な,ゼいたくな",plʌ’ʃi
rarefy,"〈特に気体〉‘を’薄める / 薄くなる,希薄になる",ré(ə)rəfài
silage,(サイロに蓄えた)貯蔵牧草,sáiliʤ
tallyho,タリホー(狩りでキツネを見つけた人が発する声),tæ`lihóu
tangy,(味が)ぴりっとする;においが強い,tæ’ŋi
backless,"背部(裏張り)のない,(衣服が)背中があいている",bæ’klis
boozer,大酒飲み,bú:zər
breakthrough,"敵陣突破[作戦];(ある事態・線の)突破 / (科学などの)新機軸,新発見,成功,大躍進",bréikθru:
constrict,"〈物など〉’を’締めつける,圧縮する",kənstríkt
delimit,…‘の’境界(限)を定める,dilímit
dhoti,ドーティ(インドの男子が着用する腰布),dóuti
existential,存在の / 実存主義の,ègzisténʃəl
expropriate,"(特に,公共の用にあてるため,個人・企業から)〈私有財産〉‘を’没収する / 〈人〉‘から'(財産を)没収する《+『名』〈人〉+『from』+『名』》",ekspróuprièit
floater,"浮くもの(人);(住所,職などを)転々と変える人;浮動投票者",flóutər
frostbite,"霜焼け,凍傷",frɑ’:s(t)bait
hogan,ホーガン(北米Navajoインディアンの住居),hóugən
inflect,"〈単語〉‘を’語形変化(活用)させる / 〈声〉‘の’調を変える;…‘に’抑揚をつける / …‘を’曲げる,屈曲させる",inflékt
intercontinental,"二つ以上の大陸に関係する(を含む) / 大陸間を飛ぶ,大陸間を飛べる",ìntəkɑ`ntinént(ə)l
minutia,"(…の)細目,詳細,ささいなこと《+『of』+『名』》",min(j)ú:ʃiə
mispronounce,…‘の’発音を誤る,mìsprənáun(t)s
phonology,音韻論;史的音韻論 / 音韻組織,fənɑ’ləʤi
plankton,"《集合的に》プランクトン,浮遊生物",plæ’ŋktən
sheepherder,"羊飼い,牧羊者",ʃí:p-hə’:rdər
sidetrack,"〈人,人の話など〉‘を’わき道にそらす / 〈列車〉‘を’側線に入れる / わき道 / (鉄道の)側線,待避線",sáidtræk
teeter,"(…で)ふらふらする,ぐらぐらする,動筋する《+on+名》 / ふらつき,動揺",tí:tər
yegg,"強盗,(特に)金庫破り強盗",jég
airliner,(大型の)定期旅客機,érlainər
biconcave,(レンズなどが)両凹(おう)の,baikɑ’nkeiv
frenetic,逆上した;熱狂した,frənétik
halogen,ハロゲン(フッ素・塩素・ヨウ素・アスタチンの総称),hæ’ləʤən
handspring,(手を地に着けてする)とんぼ返り,hæ’n(d)spriŋ
indoctrination,"(学説・原理・イデオロギーなどを)教えこむこと,教化",indɑ`ktrənéiʃen
kerf,"(のこぎりなどで木につけた)切り込み,ひき目;(枝などの)切り口",kə’:rf
launder,"〈衣類など〉‘を’洗濯する,洗濯してアイロン仕上げをする / 〈衣類などが〉洗濯とアイロンがきく(できる)",lɔ’:ndər
laze,"怠ける,のらくら暮らす / 〈時間〉‘を’のらくらして過ごす《+『away』+『名』,+『名』+『away』》 / のらくらする時間",léiz
localism,地方偏狭主義 / (地方独特の)話し方,lóukəlìzm
minefield,地雷(機雷)敷設区域 / (一般に)危険物の多い所,máinfi:ld
misogyny,女ぎらい,misɑ’ʤəni
motivate,"〈物事〉‘の’動機となる,‘を’動機づけする;〈人〉‘に’動機を与える",móutəvèit
orate,"演説する,演説口調で話す",ɔ:réit
orthogonal,"直角の,直交の",ɔ:rθɑ’gənl
peacekeeping,平和維持;(国連軍などの)平和維持活動 / 平和維持のための,pí:skì:piŋ
peafowl,クジャク(雌雄ともにいう),pífaùl
protractor,分度器,proutræ’ktər
redwing,ヨーロッパ産のツグミの一種;羽がところどころ赤い,rédwiŋ
rookie,"新任計官;新兵 / 初心者(beginner) / (特に野球で)新人選手,ルーキー",rúki
spacecraft,宇宙船,spéiskræft
superscript,"上つきの,上方に書いた / 肩文字(右上に書く記号・数字)",sú:pərskrìpt
swastika,"まんじ(古代から太陽や幸福のシンボルとして,また装飾として用いられた) / かぎ十字章,逆まんじ(ナチスドイツの表章)",swɑ’stikə
sweatshop,搾取工場(低賃金で長時間労働させる工場・仕事場),swéʧɑ:p
zinnia,ヒャクニチソウ(百日草)(キク科の一年生植物),zíniə
ambit,周囲 / 勢力範囲,æ’mbit
anile,老婆の[ような];もうろくした,æ’nail
backstay,後方索(帆船のマストを両舷後方より支える綱),bæ’kstei
bigamous,"重婚罪の,同時に2人の夫(妻)を持った",bígəməs
bursar,(大学の)会計係,bə’:rsər
cartographer,地図製作者,kɑ:tɑ’grəfər
cushy,"(仕事などが)楽な,容易な,安易な",kúʃi
dampish,少し湿っぽい,dæmpiʃ
eggnog,"卵酒(卵・クリーム・砂糖・酒類(ブランデー,ラム,バーボン)などの入った飲み物)",égnɑ`g
gamp,ばかでかい雨がさ,gæ’mp
gargantuan,"とてつもなく大きい,巨大な(gigantic, huge)",gɑ:rgæ’nʧuən
highlight,"(絵画・写真などの)最も明るい部分,ハイライト / (事件・勝負・ニュースなどの)最も目立つ部長,最高潮の場面,呼び物 / 〈絵画・写真などの部分〉‘に’ハイライトを置く,…‘を’最も明るくする / …‘を’強調する",háilait
icehouse,"氷室,貯氷庫",áishaus
incubate,"〈鳥が〉〈卵〉‘を’抱く,かえす;(人工的に)〈卵〉‘を’ふ化する / 〈考え・計画など〉‘を’じっくりと考える,熟考する / 〈鳥が〉卵を抱く,巣につく;〈卵が〉かえる",ínkjubèit
intercalate,"…‘を’間に入れる,挿入する / 〈うるうの日・月〉‘を’暦に入れる",intə’:rkəlèit
jingoism,"強硬外交主義,盲目的愛国主義,主戦論",ʤíŋgouìzm
magus,古代ペルシアの僧 / 《文》魔術師,méigəs
negate,"…‘を’無効にする,無意味にする / 〈存在・真実など〉‘を’否定する(deny)",nigéit
obstructionist,議事妨害者,əbstrʌ’kʃ(ə)nist
philanderer,戯れに恋をする男,filæ’ndərər
polyester,ポリエステル(合成繊維の一種),pɑ`:liéstər
quadrennial,4年[目]ごとの / 4年続く,kwɑdréniəl
redirect,〈手紙〉‘の’あて名を書き直す,rì:dərékt
regurgitate,〈食物〉‘を’吐く / 食物をもどす;逆流させる,rigə’:rʤətèit
saddlebag,くら袋(くらの後ろの左右にぶら下げる) / (自転車の)サドルバッグ,sæ’dlbæg
tiredly,疲れて;飽きて,taiərdli
two-way,両面交通の / (ラジオなど)(送信・受信)2方向の,
windrow,(乾燥するための)1列に並べた干し草(毅物),wín(d)ròu
adumbrate,"〈特に,未来の事〉’を’漠然と(かすかに)予示する / …‘の’輪郭をざっと描く",ædʌ’mbreit
antonym,反意語(hotに対するcoldなど),æ’ntənìm
bedbug,ナンキンムシ(また《おもに英》bug),bédbʌg
catalyst,触媒[剤],kæ’t(ə)list
cosine,"コサイン,余弦",kóusain
emaciate,"…‘を’やせ衰えさせる,やつれさせる",iméiʃièit
fizzy,泡立つ,fízi
granddad,"祖父,おじいちゃん / (一般に)ご老人,おじいさん",græ’n(d)dæd
grout,"(石の接合に用いる)うすとろ,セメント糊(のり)",gráut
lemming,レミング(ネズミに似た尾の短い動物),lémiŋ
massif,(山脈の中の)断層塊,mæsí:f
